feature,importance
mean_speed_z,0.1977212680256552
total_distance_z,0.19531214948107128
stationary_ratio_z,0.13654714497442078
active_ratio_z,0.1215509155779152
x_range_z,0.04914635723955051
y_range_z,0.04273863517330618
direction_change_rate_z,0.03545024003551131
active_ratio,0.030592315683721272
mean_speed,0.02841760273146774
stationary_ratio,0.027670377513904748
total_distance,0.027191784678615848
missing_track_ratio,0.018566676831709757
mean_bbox_area_ratio,0.011169156384244837
direction_change_rate,0.011038062979803509
contour_count_mean,0.009745858544028102
path_efficiency_z,0.008702669605309427
mean_motion_ratio,0.007813731965801318
bbox_area_std,0.007223289229731687
std_motion_ratio,0.007087466446248043
path_efficiency,0.006032608552126695
y_range,0.0058625248243740335
x_range,0.0042855186468515735
max_speed,0.004183763847992189
high_turn_ratio,0.003781704877717781
hour_of_day,0.002033667935049029
motion_peaks,0.000134508213871883
is_daytime,0.0
